SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,股票名称
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004027003,每股摊薄盈利,-3.9,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004030997,其他全面收益其他项目,-1500422000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004030999,其他全面收益,-1500422000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004039999,全面收益总额,-25036620000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004040001,非控股权益应占全面收益总额,2181000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-25038801000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004099999,非运算项目,-135653865000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004001001,营业额,114794510000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004001999,营运收入,114794510000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004005002,销售成本,80744368000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004007999,毛利,34050142000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010002,其他收益,3160835000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010003,销售及分销费用,20882685000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010004,行政开支,5593895000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010005,减值及拨备,467690000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010006,重估盈余,4955909000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010010,研发费用,10892514000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010999,经营溢利,4330102000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011200,利息收入,213684000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011201,融资成本,370016000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011997,溢利其他项目,264105000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011999,除税前溢利,4437875000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012001,税项,-269737000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012002,持续经营业务税后利润,4707612000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012999,除税后溢利,4707612000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004025001,少数股东损益,-701000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004025002,股东应占溢利,4708313000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004027002,每股基本盈利,0.81,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004027003,每股摊薄盈利,0.78,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004030997,其他全面收益其他项目,-2978632000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004030999,其他全面收益,-2978632000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004039999,全面收益总额,1728980000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-701000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,1729681000.0,美团-W
03690.HK,03690,美团-W,10945642,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004099999,非运算项目,-79859471000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001001,营业额,82152107000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001002,其他营业收入,15376424000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001999,营运收入,97528531000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004005002,销售成本,65208143000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004007999,毛利,32320388000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010002,其他收益,2531143000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010003,销售及分销费用,18819067000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010004,行政开支,4338954000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010005,减值及拨备,645685000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010006,重估盈余,77699000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010010,研发费用,8445664000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010999,经营溢利,2679860000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011200,利息收入,166217000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011201,融资成本,191042000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011997,溢利其他项目,107353000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011999,除税前溢利,2762388000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004012001,税项,526223000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004012002,持续经营业务税后利润,2236165000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004012999,除税后溢利,2236165000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004025001,少数股东损益,-2604000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004025002,股东应占溢利,2238769000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004027002,每股基本盈利,0.39,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004027003,每股摊薄盈利,0.38,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004030997,其他全面收益其他项目,682878000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004030999,其他全面收益,682878000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004039999,全面收益总额,2919043000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-2678000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,2921721000.0,美团-W
03690.HK,03690,美团-W,10945642,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004099999,非运算项目,-65208143000.0,美团-W
03690.HK,03690,美团-W,10945642,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004001001,营业额,56859732000.0,美团-W
03690.HK,03690,美团-W,10945642,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004001002,其他营业收入,8367546000.0,美团-W
03690.HK,03690,美团-W,10945642,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004001999,营运收入,65227278000.0,美团-W
03690.HK,03690,美团-W,10945642,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004005002,销售成本,50122320000.0,美团-W
03690.HK,03690,美团-W,10945642,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004007999,毛利,15104958000.0,美团-W
03690.HK,03690,美团-W,10945642,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010002,其他收益,748356000.0,美团-W
